Datetime,open,high,low,close,volume
2026-01-26 14:30:00+00:00,623.1900024414062,625.072509765625,622.1199951171875,624.8150024414062,2754300
2026-01-26 14:45:00+00:00,624.8300170898438,625.6900024414062,624.489990234375,625.294921875,1327795
2026-01-26 15:00:00+00:00,625.280029296875,625.5800170898438,624.4550170898438,625.3200073242188,1047939
2026-01-26 15:15:00+00:00,625.3499755859375,626.4500122070312,625.0999755859375,625.489990234375,4793386
2026-01-26 15:30:00+00:00,625.47998046875,626.260009765625,625.2000122070312,625.3300170898438,446322
2026-01-26 15:45:00+00:00,625.3300170898438,626.75,625.3300170898438,626.3350219726562,834224
2026-01-26 16:00:00+00:00,626.3300170898438,626.6900024414062,625.989990234375,626.4500122070312,799196
2026-01-26 16:15:00+00:00,626.4299926757812,627.0,625.6199951171875,626.9000244140625,795191
2026-01-26 16:30:00+00:00,626.9299926757812,627.4400024414062,626.6799926757812,626.719970703125,793653
2026-01-26 16:45:00+00:00,626.7100219726562,627.0399780273438,626.489990234375,626.9349975585938,519327
2026-01-26 17:00:00+00:00,626.9400024414062,627.6099853515625,626.8599853515625,627.1300048828125,624921
2026-01-26 17:15:00+00:00,627.1099853515625,627.4301147460938,626.9600219726562,627.0900268554688,392335
2026-01-26 17:30:00+00:00,627.0800170898438,627.1599731445312,626.739990234375,627.0,386784
2026-01-26 17:45:00+00:00,627.0,627.0,626.3599853515625,626.5698852539062,418217
2026-01-26 18:00:00+00:00,626.5750122070312,626.72998046875,626.1701049804688,626.369873046875,391734
2026-01-26 18:15:00+00:00,626.35498046875,627.1400146484375,626.219970703125,626.97998046875,608505
2026-01-26 18:30:00+00:00,626.97998046875,627.5499877929688,626.6199951171875,626.7100219726562,512397
2026-01-26 18:45:00+00:00,626.7150268554688,626.9199829101562,626.4600219726562,626.7999877929688,384672
2026-01-26 19:00:00+00:00,626.7899780273438,627.1300048828125,626.6500244140625,627.010009765625,330772
2026-01-26 19:15:00+00:00,627.0050048828125,627.1099853515625,626.4600219726562,626.8200073242188,343352
2026-01-26 19:30:00+00:00,626.7999877929688,627.1099853515625,626.5999755859375,626.9199829101562,348260
2026-01-26 19:45:00+00:00,626.9199829101562,626.969970703125,626.3099975585938,626.3200073242188,430556
2026-01-26 20:00:00+00:00,626.3400268554688,626.5880126953125,626.1500244140625,626.3900146484375,347301
2026-01-26 20:15:00+00:00,626.3800048828125,626.4494018554688,626.0499877929688,626.3699951171875,465095
2026-01-26 20:30:00+00:00,626.3800048828125,626.719970703125,626.3099975585938,626.47998046875,514218
2026-01-26 20:45:00+00:00,626.47998046875,626.6699829101562,625.4000854492188,625.47998046875,17048543
2026-01-27 14:30:00+00:00,628.9000244140625,629.6199951171875,627.3400268554688,628.2999877929688,2913096
2026-01-27 14:45:00+00:00,628.3300170898438,630.6900024414062,628.3250122070312,630.5599975585938,1499096
2026-01-27 15:00:00+00:00,630.6199951171875,631.0599975585938,629.8499755859375,630.739990234375,1409424
2026-01-27 15:15:00+00:00,630.75,631.0700073242188,630.2100219726562,630.3200073242188,844717
2026-01-27 15:30:00+00:00,630.3300170898438,631.572509765625,630.239990234375,631.468994140625,930619
2026-01-27 15:45:00+00:00,631.4600219726562,631.6400146484375,630.8200073242188,631.1702880859375,795251
2026-01-27 16:00:00+00:00,631.1799926757812,631.6599731445312,631.0399780273438,631.6400146484375,627520
2026-01-27 16:15:00+00:00,631.6300048828125,631.8300170898438,631.3800048828125,631.4349975585938,479867
2026-01-27 16:30:00+00:00,631.469970703125,631.6599731445312,631.3599853515625,631.4400024414062,401248
2026-01-27 16:45:00+00:00,631.4320068359375,631.5700073242188,631.1300048828125,631.1900024414062,651955
2026-01-27 17:00:00+00:00,631.1900024414062,631.3098754882812,630.8599853515625,630.989990234375,770137
2026-01-27 17:15:00+00:00,630.97998046875,631.405029296875,630.5150146484375,631.2999877929688,598076
2026-01-27 17:30:00+00:00,631.2899780273438,631.489990234375,630.97998046875,631.1199951171875,691580
2026-01-27 17:45:00+00:00,631.1199951171875,631.1500244140625,630.6900024414062,630.7750244140625,346682
2026-01-27 18:00:00+00:00,630.780029296875,631.02001953125,630.219970703125,630.9500122070312,526678
2026-01-27 18:15:00+00:00,630.9199829101562,631.3599853515625,630.9199829101562,631.1500244140625,396769
2026-01-27 18:30:00+00:00,631.1500244140625,631.510009765625,631.1500244140625,631.260009765625,395615
2026-01-27 18:45:00+00:00,631.27001953125,631.6199951171875,631.219970703125,631.4699096679688,330514
2026-01-27 19:00:00+00:00,631.4600219726562,631.4600219726562,631.0700073242188,631.3800048828125,374226
2026-01-27 19:15:00+00:00,631.3800048828125,631.5700073242188,631.3200073242188,631.5208129882812,635456
2026-01-27 19:30:00+00:00,631.530029296875,631.6900024414062,631.1900024414062,631.3599853515625,391836
2026-01-27 19:45:00+00:00,631.3599853515625,631.6749877929688,631.1799926757812,631.52001953125,440304
2026-01-27 20:00:00+00:00,631.510009765625,631.9799194335938,631.3099975585938,631.9500122070312,498181
2026-01-27 20:15:00+00:00,631.9500122070312,632.042724609375,631.5601196289062,631.61767578125,888350
2026-01-27 20:30:00+00:00,631.5999755859375,631.6500244140625,631.3300170898438,631.510009765625,620516
2026-01-27 20:45:00+00:00,631.5,631.719970703125,630.9199829101562,631.0800170898438,2424940
