datetime,balance,equity
2026-01-26 09:30:00-05:00,10000.0,10000.0
2026-01-26 09:45:00-05:00,10000.0,10000.0
2026-01-26 10:00:00-05:00,10000.0,10000.0
2026-01-26 10:15:00-05:00,10000.0,10000.0
2026-01-26 10:30:00-05:00,10000.0,10000.0
2026-01-26 10:45:00-05:00,10000.0,10000.0
2026-01-26 11:00:00-05:00,10000.0,10000.0
2026-01-26 11:15:00-05:00,10000.0,10000.0
2026-01-26 11:30:00-05:00,10000.0,10000.0
2026-01-26 11:45:00-05:00,10000.0,10000.0
2026-01-26 12:00:00-05:00,10000.0,10000.0
2026-01-26 12:15:00-05:00,10000.0,10000.0
2026-01-26 12:30:00-05:00,10000.0,10000.0
2026-01-26 12:45:00-05:00,10000.0,10000.0
2026-01-26 13:00:00-05:00,10000.0,10000.0
2026-01-26 13:15:00-05:00,10000.0,10000.0
2026-01-26 13:30:00-05:00,10000.0,10000.0
2026-01-26 13:45:00-05:00,10000.0,10000.0
2026-01-26 14:00:00-05:00,10000.0,10000.0
2026-01-26 14:15:00-05:00,10000.0,10000.0
2026-01-26 14:30:00-05:00,10000.0,10000.0
2026-01-26 14:45:00-05:00,10000.0,10000.0
2026-01-26 15:00:00-05:00,10000.0,10000.0
2026-01-26 15:15:00-05:00,10000.0,10000.0
2026-01-26 15:30:00-05:00,10000.0,10000.0
2026-01-26 15:45:00-05:00,10000.0,10000.0
2026-01-27 09:30:00-05:00,10000.0,10000.0
2026-01-27 09:45:00-05:00,10000.0,10000.0
2026-01-27 10:00:00-05:00,10000.0,10000.0
2026-01-27 10:15:00-05:00,10000.0,10000.0
2026-01-27 10:30:00-05:00,10000.0,10000.0
2026-01-27 10:45:00-05:00,10000.0,10000.0
2026-01-27 11:00:00-05:00,10000.0,10000.0
2026-01-27 11:15:00-05:00,10000.0,10000.0
2026-01-27 11:30:00-05:00,10000.0,10000.0
2026-01-27 11:45:00-05:00,10000.0,10000.0
2026-01-27 12:00:00-05:00,10000.0,10000.0
2026-01-27 12:15:00-05:00,10000.0,10000.0
2026-01-27 12:30:00-05:00,10000.0,10000.0
2026-01-27 12:45:00-05:00,10000.0,10000.0
2026-01-27 13:00:00-05:00,10000.0,10000.0
2026-01-27 13:15:00-05:00,10000.0,10000.0
2026-01-27 13:30:00-05:00,10000.0,10000.0
2026-01-27 13:45:00-05:00,10000.0,10000.0
2026-01-27 14:00:00-05:00,10000.0,10000.0
2026-01-27 14:15:00-05:00,10000.0,10000.0
2026-01-27 14:30:00-05:00,10000.0,10000.0
2026-01-27 14:45:00-05:00,10000.0,10000.0
2026-01-27 15:00:00-05:00,10000.0,10000.0
2026-01-27 15:15:00-05:00,10000.0,10000.0
2026-01-27 15:30:00-05:00,10000.0,10000.0
2026-01-27 15:45:00-05:00,10000.0,10000.0
2026-01-28 09:30:00-05:00,10000.0,10000.0
2026-01-28 09:45:00-05:00,10000.0,10000.0
2026-01-28 10:00:00-05:00,10000.0,10000.0
2026-01-28 10:15:00-05:00,10000.0,10000.0
2026-01-28 10:30:00-05:00,9920.0,9926.299134489254
2026-01-28 10:45:00-05:00,9920.0,9967.900696989254
2026-01-28 11:00:00-05:00,9920.0,9927.099915739254
2026-01-28 11:15:00-05:00,9920.0,9928.701478239254
2026-01-28 11:30:00-05:00,9920.0,10045.898743864254
2026-01-28 11:45:00-05:00,9920.0,10055.898743864254
2026-01-28 12:00:00-05:00,9920.0,9988.877259489254
2026-01-28 12:15:00-05:00,9920.0,10038.301087614254
2026-01-28 12:30:00-05:00,9920.0,10027.900696989254
2026-01-28 12:45:00-05:00,9920.0,10009.497376676754
2026-01-28 13:00:00-05:00,9920.0,9973.501282926754
2026-01-28 13:15:00-05:00,9920.0,9971.899720426754
2026-01-28 13:30:00-05:00,9920.0,9979.101868864254
2026-01-28 13:45:00-05:00,9920.0,9951.098939176754
2026-01-28 14:00:00-05:00,9920.0,10003.901673551754
2026-01-28 14:15:00-05:00,9920.0,10043.901673551754
2026-01-28 14:30:00-05:00,9920.0,9996.699525114254
2026-01-28 14:45:00-05:00,9920.0,9971.738587614254
2026-01-28 15:00:00-05:00,9920.0,9899.497376676754
2026-01-28 15:15:00-05:00,9920.0,9944.707337614254
2026-01-28 15:30:00-05:00,9920.0,9979.106751676754
2026-01-28 15:45:00-05:00,9920.0,9991.098939176754
2026-01-29 09:30:00-05:00,9920.0,10368.301087614254
2026-01-29 09:45:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 10:00:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 10:15:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 10:30:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 10:45:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 11:00:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 11:15:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 11:30:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 11:45:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 12:00:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 12:15:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 12:30:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 12:45:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 13:00:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 13:15:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 13:30:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 13:45:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 14:00:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 14:15:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 14:30:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 14:45:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 15:00:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 15:15:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 15:30:00-05:00,10314.995729916009,10314.995729916009
2026-01-29 15:45:00-05:00,10314.995729916009,10314.995729916009
2026-01-30 09:30:00-05:00,10314.995729916009,10314.995729916009
2026-01-30 09:45:00-05:00,10314.995729916009,10314.995729916009
2026-01-30 10:00:00-05:00,10314.995729916009,10314.995729916009
2026-01-30 10:15:00-05:00,10314.995729916009,10314.995729916009
2026-01-30 10:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-02 14:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-02 14:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-02 14:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-02 14:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-02 15:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-02 15:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-02 15:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-02 15:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 09:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 09:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 10:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 10:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 10:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 10:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 11:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 11:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 11:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 11:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 12:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 12:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 12:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 12:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 13:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 13:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 13:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 13:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 14:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 14:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 14:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 14:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 15:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 15:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 15:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-03 15:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 09:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 09:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 10:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 10:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 10:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 10:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 11:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 11:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 11:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 11:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 12:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 12:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 12:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 12:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 13:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 13:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 13:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 13:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 14:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 14:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 14:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 14:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 15:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 15:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 15:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-04 15:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 09:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 09:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 10:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 10:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 10:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 10:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 11:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 11:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 11:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 11:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 12:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 12:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 12:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 12:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 13:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 13:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 13:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 13:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 14:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 14:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 14:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 14:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 15:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 15:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 15:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-05 15:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 09:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 09:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 10:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 10:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 10:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 10:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 11:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 11:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 11:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 11:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 12:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 12:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 12:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 12:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 13:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 13:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 13:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 13:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 14:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 14:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 14:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 14:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 15:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 15:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 15:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-06 15:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 09:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 09:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 10:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 10:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 10:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 10:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 11:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 11:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 11:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 11:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 12:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 12:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 12:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 12:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 13:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 13:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 13:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 13:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 14:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 14:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 14:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 14:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 15:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 15:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 15:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-09 15:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 09:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 09:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 10:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 10:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 10:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 10:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 11:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 11:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 11:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 11:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 12:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 12:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 12:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 12:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 13:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 13:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 13:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 13:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 14:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 14:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 14:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 14:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 15:00:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 15:15:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 15:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-10 15:45:00-05:00,10314.995729916009,10314.995729916009
2026-02-11 09:30:00-05:00,10314.995729916009,10314.995729916009
2026-02-11 09:45:00-05:00,10263.995729916009,10257.791417259587
2026-02-11 10:00:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 10:15:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 10:30:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 10:45:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 11:00:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 11:15:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 11:30:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 11:45:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 12:00:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 12:15:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 12:30:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 12:45:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 13:00:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 13:15:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 13:30:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 13:45:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 14:00:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 14:15:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 14:30:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 14:45:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 15:00:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 15:15:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 15:30:00-05:00,10290.347602650041,10290.347602650041
2026-02-11 15:45:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 09:30:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 09:45:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 10:00:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 10:15:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 10:30:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 10:45:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 11:00:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 11:15:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 11:30:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 11:45:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 12:00:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 12:15:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 12:30:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 12:45:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 13:00:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 13:15:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 13:30:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 13:45:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 14:00:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 14:15:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 14:30:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 14:45:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 15:00:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 15:15:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 15:30:00-05:00,10290.347602650041,10290.347602650041
2026-02-12 15:45:00-05:00,10290.347602650041,10290.347602650041
2026-02-13 09:30:00-05:00,10290.347602650041,10290.347602650041
2026-02-13 09:45:00-05:00,10290.347602650041,10290.347602650041
2026-02-13 10:00:00-05:00,10290.347602650041,10290.347602650041
2026-02-13 10:15:00-05:00,10239.347602650041,10368.181510332564
2026-02-13 10:30:00-05:00,10239.347602650041,10275.361136797408
2026-02-13 10:45:00-05:00,10239.347602650041,10321.262381914596
2026-02-13 11:00:00-05:00,10239.347602650041,10356.449393633346
2026-02-13 11:15:00-05:00,10239.347602650041,10371.235160234908
2026-02-13 11:30:00-05:00,10239.347602650041,10417.65001619194
2026-02-13 11:45:00-05:00,10239.347602650041,10423.769767168502
2026-02-13 12:00:00-05:00,10239.347602650041,10494.15001619194
2026-02-13 12:15:00-05:00,10239.347602650041,10491.090140703658
2026-02-13 12:30:00-05:00,10239.347602650041,10512.00188386772
2026-02-13 12:45:00-05:00,10239.347602650041,10477.829642656783
2026-02-13 13:00:00-05:00,10239.347602650041,10483.949393633346
2026-02-13 13:15:00-05:00,10239.347602650041,10497.720389727096
2026-02-13 13:30:00-05:00,10239.347602650041,10491.090140703658
2026-02-13 13:45:00-05:00,10239.347602650041,10480.889518145064
2026-02-13 14:00:00-05:00,10239.347602650041,10488.54698884819
2026-02-13 14:15:00-05:00,10239.347602650041,10460.491385820846
2026-02-13 14:30:00-05:00,10239.347602650041,10439.579642656783
2026-02-13 14:45:00-05:00,10239.347602650041,10371.75188386772
2026-02-13 15:00:00-05:00,10239.347602650041,10336.561759356002
2026-02-13 15:15:00-05:00,10239.347602650041,10263.62590730522
2026-02-13 15:30:00-05:00,10239.347602650041,10244.25188386772
2026-02-13 15:45:00-05:00,10239.347602650041,10310.551261309127
2026-02-17 09:30:00-05:00,10239.347602650041,10187.132132891158
2026-02-17 09:45:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 10:00:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 10:15:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 10:30:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 10:45:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 11:00:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 11:15:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 11:30:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 11:45:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 12:00:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 12:15:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 12:30:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 12:45:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 13:00:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 13:15:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 13:30:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 13:45:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 14:00:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 14:15:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 14:30:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 14:45:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 15:00:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 15:15:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 15:30:00-05:00,9984.15001619194,9984.15001619194
2026-02-17 15:45:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 09:30:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 09:45:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 10:00:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 10:15:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 10:30:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 10:45:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 11:00:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 11:15:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 11:30:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 11:45:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 12:00:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 12:15:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 12:30:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 12:45:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 13:00:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 13:15:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 13:30:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 13:45:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 14:00:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 14:15:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 14:30:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 14:45:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 15:00:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 15:15:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 15:30:00-05:00,9984.15001619194,9984.15001619194
2026-02-18 15:45:00-05:00,9984.15001619194,9984.15001619194
2026-02-19 09:30:00-05:00,9984.15001619194,9984.15001619194
2026-02-19 09:45:00-05:00,9984.15001619194,9984.15001619194
2026-02-19 10:00:00-05:00,9984.15001619194,9984.15001619194
2026-02-19 10:15:00-05:00,9984.15001619194,9984.15001619194
2026-02-19 10:30:00-05:00,9984.15001619194,9984.15001619194
2026-02-19 10:45:00-05:00,9984.15001619194,9984.15001619194
2026-02-19 11:00:00-05:00,9984.15001619194,9984.15001619194
2026-02-19 11:15:00-05:00,9984.15001619194,9984.15001619194
2026-02-19 11:30:00-05:00,9984.15001619194,9984.15001619194
2026-02-19 11:45:00-05:00,9984.15001619194,9984.15001619194
2026-02-19 12:00:00-05:00,9984.15001619194,9984.15001619194
2026-02-19 12:15:00-05:00,9984.15001619194,9984.15001619194
2026-02-19 12:30:00-05:00,9984.15001619194,9984.15001619194
2026-02-19 12:45:00-05:00,9984.15001619194,9984.15001619194
2026-02-19 13:00:00-05:00,9984.15001619194,9984.15001619194
2026-02-19 13:15:00-05:00,9984.15001619194,9984.15001619194
